x1,y1,x2,y2
8178,7226,8178,6716
8145,198,8145,558
7994,6716,8056,6716
8145,6716,8178,6716
8145,2453,8178,2453
8145,558,8145,926
8056,558,8145,558
8056,2798,8139,2798
8056,6716,8139,6716
8139,926,8139,2453
8139,926,8145,926
8139,6716,8145,6716
8139,2453,8145,2453
8139,6716,8139,2798
8139,2798,8139,2453
7916,2798,8056,2798
8378,9864,8378,9374
8369,9374,8369,7669
8293,901,8293,1718
8236,7669,8255,7669
8348,7669,8369,7669
8348,5572,8369,5572
8293,1718,8293,2880
8255,1718,8293,1718
8255,7226,8293,7226
8255,7669,8293,7669
8293,2880,8293,5572
8293,2880,8348,2880
8293,7669,8348,7669
8293,5572,8348,5572
8293,7669,8293,7226
8293,7226,8293,5572
8212,7226,8255,7226
8369,9374,8378,9374
8541,1031,8645,1031
8378,9374,8487,9374
8541,1031,8541,4938
8487,4938,8490,4938
8487,9374,8490,9374
8529,9374,8541,9374
8529,4938,8541,4938
8490,4938,8490,5450
8490,4938,8529,4938
8490,5450,8490,6687
8490,6687,8528,6687
8490,9374,8528,9374
8528,6687,8528,6930
8528,6930,8529,6930
8528,9374,8529,9374
8529,9374,8529,6930
8645,1031,8980,1031
9322,7311,9446,7311
9322,9865,9322,7311
9253,7311,9322,7311
9253,7311,9253,6269
9231,6269,9253,6269
9231,6269,9231,5676
9231,308,9231,1031
8980,1031,9161,1031
8980,5676,9161,5676
9161,5676,9231,5676
9161,1031,9231,1031
9161,5676,9161,3908
9161,3908,9161,1031
9446,7311,9458,7311
9528,6152,9696,6152
9528,7524,9528,7311
9458,1771,9458,6152
9458,6152,9528,6152
9458,7311,9528,7311
9528,7311,9528,6152
